"동별(1)",동별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024
"동별(1)",동별(2),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별),도시가스이용가구(용도별)
"동별(1)",동별(2),소계,가정용,가정용,가정용,일반용,업무용,산업용,열병합,수송용,소계,가정용,가정용,가정용,일반용,업무용,산업용,열병합,수송용,소계,가정용,가정용,가정용,일반용,업무용,산업용,열병합,수송용,소계,가정용,가정용,가정용,일반용,업무용,산업용,열병합,수송용,소계,가정용,가정용,가정용,일반용,업무용,산업용,열병합,수송용,소계,가정용,가정용,가정용,일반용,업무용,산업용,열병합,수송용
"동별(1)",동별(2),소계,소계,취사용,취사/난방 겸용,소계,소계,소계,소계,소계,소계,소계,취사용,취사/난방 겸용,소계,소계,소계,소계,소계,소계,소계,취사용,취사/난방 겸용,소계,소계,소계,소계,소계,소계,소계,취사용,취사/난방 겸용,소계,소계,소계,소계,소계,소계,소계,취사용,취사/난방 겸용,소계,소계,소계,소계,소계,소계,소계,취사용,취사/난방 겸용,소계,소계,소계,소계,소계
"서울시",은평구,208809,197446,18759,178687,6970,4378,4,8,3,215299,203655,18818,184837,7210,4419,4,8,3,219045,207250,18827,188423,7320,4459,4,9,3,223075,211645,18847,192798,7398,4012,4,13,3,223254,212000,18849,193151,7481,3754,4,12,3,223437,212246,18799,193447,7545,3623,4,16,3
"서울시",서대문구,153888,143796,10858,132938,6420,3618,51,3,-,158617,148144,12129,136015,6511,3903,52,7,-,159436,148850,12154,136696,6671,3886,20,9,-,162326,152784,12271,140513,7006,2507,19,10,-,164440,154947,12278,142669,7044,2376,59,14,-,164795,155354,12298,143056,7088,2278,61,14,-
"서울시",마포구,197468,175075,30904,144171,13114,9256,5,16,2,200601,177960,30575,147385,13376,9239,5,19,2,203583,180830,30497,150333,13777,8941,5,28,2,204715,182817,30480,152337,14385,7473,5,33,2,206108,184540,30458,154082,14391,7136,5,34,2,206176,184730,30337,154393,14429,6974,5,36,2
"서울시",양천구,180125,170951,63179,107772,5634,3525,10,3,2,183253,174152,62537,111615,5674,3409,10,6,2,184082,174955,62907,112048,5745,3366,10,4,2,184729,176136,62123,114013,5819,2756,10,6,2,185115,176653,61729,114924,5836,2606,10,8,2,184781,176378,61815,114563,5857,2526,10,8,2
"서울시",강서구,262404,246079,68059,178020,10017,6256,24,26,2,267099,250353,68087,182266,10388,6293,24,39,2,273408,256337,69968,186369,10630,6356,25,58,2,277106,260651,70003,190648,10691,5671,25,66,2,279826,263518,70118,193400,10898,5311,26,71,2,281432,265130,70066,195064,11010,5185,23,82,2
"서울시",구로구,196321,187098,14045,173053,5605,3589,16,12,1,198601,189395,13971,175424,5729,3445,16,15,1,199706,190531,12818,177713,5823,3321,13,17,1,203097,194777,11862,182915,5529,2755,17,18,1,205070,196667,11562,185105,5751,2617,16,18,1,204943,196594,11606,184988,5830,2481,16,21,1
"서울시",금천구,125253,118206,4023,114183,3797,3161,84,4,1,129956,123022,3890,119132,3843,3001,82,7,1,134074,127201,3381,123820,3901,2896,65,10,1,135838,129553,3238,126315,4017,2206,53,8,1,137785,131701,3189,128512,4034,1990,48,11,1,138676,132704,3149,129555,4013,1904,42,12,1
"서울시",영등포구,201447,184190,16320,167870,10357,6875,11,14,-,211804,194318,16355,177963,10637,6811,10,28,-,217149,199371,15992,183379,10977,6754,10,37,-,220200,203294,16001,187293,11173,5675,10,48,-,222844,206346,15997,190349,11311,5117,10,60,-,224887,208588,14100,194488,11464,4758,8,69,-
"서울시",동작구,196793,184913,17726,167187,6491,5377,5,7,-,200013,188015,17669,170346,6583,5400,5,10,-,203318,191117,16696,174421,6588,5597,5,11,-,204172,192968,16664,176304,6635,4551,5,13,-,207020,196162,16319,179843,6710,4127,5,16,-,201759,191605,16176,175429,6496,3637,5,16,-
"서울시",관악구,284537,264061,9444,254617,10738,9732,2,3,1,289086,268456,5256,263200,10914,9709,2,4,1,292827,272113,5239,266874,11011,9690,2,10,1,296431,277323,5260,272063,11200,7894,2,11,1,298806,280946,4070,276876,11115,6732,2,10,1,300879,283180,4050,279130,11107,6576,1,14,1
"서울시",서초구,179360,163548,45742,117806,8080,7701,4,25,2,180688,165295,46179,119116,7995,7362,4,30,2,180716,165458,44928,120530,7978,7239,2,37,2,175677,161059,40142,120917,7738,6835,3,40,2,175906,161529,39454,122075,7774,6548,2,51,2,174930,160939,38774,122165,7660,6286,2,41,2
"서울시",강남구,246525,224600,90058,134542,12536,9311,4,73,1,243026,221747,87199,134548,12566,8631,3,78,1,242954,221953,87779,134174,12555,8353,3,89,1,239289,218618,84115,134503,12523,8060,3,84,1,248431,228222,93008,135214,12786,7329,1,92,1,245527,225787,91532,134255,12575,7060,1,103,1
"서울시",송파구,258196,245722,85022,160700,8395,4018,3,56,2,258086,245868,84206,161662,8414,3739,3,60,2,260464,248266,85826,162440,8457,3668,3,68,2,260285,248227,84345,163882,8406,3591,3,56,2,259664,247704,82505,165199,8510,3382,2,64,2,258259,246431,80821,165610,8474,3297,2,53,2
"서울시",강동구,185507,177674,27940,149734,5280,2509,14,29,1,193842,186139,34184,151955,5336,2315,11,40,1,197977,190282,37676,152606,5379,2260,11,44,1,200413,192817,38342,154475,5337,2200,11,47,1,201728,194247,38289,155958,5411,2003,11,55,1,217733,210313,51976,158337,5391,1954,11,63,1
