"자치구별(1)",자치구별(2),2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024
"자치구별(1)",자치구별(2),행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원,행정구역면적,공원면적,공원면적,자연공원(국립)면적,도시자연공원구역면적,도시계획시설(공원) 및 기타공원,도시계획시설(공원) 및 기타공원
"자치구별(1)",자치구별(2),소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적,소계,소계,공원율 (%),소계,소계,조성면적,미조성면적
"합계",중랑구,18495844,5232965,28.29,5154295,78670,18495756,5211857,28.18,5133187,78670,18495350,5206491,28.15,5133187,73303,18495575,5206342,28.15,5135562,70780,18496071,5205284,28.14,5134504,70780,18496082,4990296,26.98,-,2895864,2023652,70780,18495584,5232976,28.29,-,2895864,2256985,80127,18497097,5229015,28.27,-,2895864,2238250,94902,18497135,5199932,28.11,-,2895864,2238696,65372,18498185,5226292,28.25,-,2895864,2238569,91859
"합계",성북구,24578675,8393029,34.15,8153246,239783,24578665,8393029,34.15,8153246,239783,24573192,8338101,33.93,8153246,184855,24573425,8342383,33.95,8167970,174413,24574349,8329401,33.89,8183985,145417,24576833,8507347,34.62,3864000,2899316,1640427,103605,24576989,8491596,34.55,3864000,2899316,1636948,91332,24577897,8526701,34.69,3865000,2899316,1678681,83704,24577918,8527945,34.70,3865000,2899316,1681564,82064,24578152,8534200,34.72,3865000,2899316,1682259,87624
"합계",강북구,23597000,14337627,60.76,14163139,174488,23596920,14337627,60.76,14163139,174488,23600563,14337627,60.75,14163139,174488,23600564,14346715,60.79,14165890,180825,23600102,14342272,60.77,14173131,169141,23600355,14424502,61.12,11899000,412374,1955548,157580,23600441,14383641,60.95,11899000,412374,2035694,36572,23600402,14495426,61.42,11985000,412374,2053410,44641,23600408,14570449,61.74,11985000,412374,2129127,43948,23606587,14566507,61.71,11985000,412374,2129127,40006
"합계",도봉구,20710249,10069616,48.62,10031499,38117,20667909,10083758,48.79,10030818,52940,20668257,10083617,48.79,10030677,52940,20667161,10075345,48.75,10074284,1060,20660965,10075021,48.76,10073960,1060,20651082,10160375,49.20,8703000,335258,1121057,1060,20651004,10160375,49.20,8703000,335258,1121057,1060,20651010,10151040,49.16,8693000,335258,1121722,1060,20651010,10151520,49.16,8693000,335258,1122202,1060,20650924,10151520,49.16,8693000,335258,1122202,1060
"합계",노원구,35435922,14163034,39.97,13681809,481225,35437921,14168875,39.98,13687650,481225,35437909,14337687,40.46,13856461,481225,35438003,14337687,40.46,14116961,220725,35437538,14344421,40.48,14124005,220415,35437648,14741807,41.60,-,12798824,1883812,59170,35439209,14742942,41.60,-,12798824,1894568,49549,35439055,14741616,41.60,-,12798824,1893243,49549,35439122,14741503,41.60,-,12798824,1898394,44285,35442885,14741503,41.59,-,12798824,1898394,44285
"합계",은평구,29703817,13999621,47.13,10980221,3019400,29704588,13999621,47.13,10980221,3019400,29709360,13997925,47.12,10978525,3019400,29708134,13997925,47.12,10980666,3017259,29711421,13991566,47.09,10992516,2999050,29710906,14365721,48.35,7663000,4406372,2200616,95733,29710522,14368192,48.36,7663000,4406372,2214024,84796,29713452,14400137,48.46,7695000,4406372,2215176,83589,29710154,14398241,48.46,7695000,4406372,2209559,87311,29710145,14398241,48.46,7695000,4406372,2209559,87311
"합계",서대문구,17606763,5136120,29.17,4999196,136923,17608732,5135311,29.16,5027865,107445,17626255,5136193,29.14,5039558,96635,17624901,5136075,29.14,5055982,80093,17625638,5143254,29.18,5064272,78981,17626368,5082158,28.83,218000,3661124,1123230,79804,17626389,5098922,28.93,218000,3661124,1123689,96110,17626979,5106181,28.97,249000,3661124,1126041,70017,17626320,5107196,28.97,249000,3661124,1132167,64906,17629641,5104764,28.96,249000,3661124,1129735,64906
"합계",마포구,23844308,4505526,18.90,4139633,365892,23843621,4439259,18.62,4222195,217064,23852112,4439901,18.61,4325771,114130,23851231,4439901,18.61,4328633,111268,23851343,4440002,18.62,4334936,105067,23850352,4565366,19.14,-,164533,4350939,49895,23850081,4570840,19.16,-,164533,4356022,50285,23853636,4569418,19.16,-,164533,4358841,46044,23853966,4569311,19.16,-,164533,4358734,46044,23854069,4569632,19.16,-,164533,4398345,6754
"합계",양천구,17403680,2906057,16.70,1879284,1026773,17406820,2909845,16.72,1886634,1023211,17406812,2909845,16.72,1886634,1023211,17406825,2909845,16.72,1886634,1023211,17405710,2912035,16.73,1891826,1020209,17405713,3049625,17.52,-,837336,2205571,6718,17405693,3049625,17.52,-,837336,2205571,6718,17405694,3049626,17.52,-,837336,2208913,3376,17406040,3049861,17.52,-,837336,2211527,997,17406633,3047105,17.51,-,837336,2208771,997
"합계",강서구,41437725,4329121,10.45,3665616,663504,41436730,4329121,10.45,3665616,663504,41436826,4329258,10.45,3665616,663641,41436855,4329258,10.45,4225487,103770,41436853,4370320,10.55,4241665,128655,41436848,4512052,10.89,-,975028,3519748,17275,41452201,4518254,10.90,-,975028,3530846,12379,41453337,4518254,10.90,-,975028,3530846,12379,41451954,4519824,10.90,-,975028,3532417,12379,41452018,4518650,10.90,-,975028,3531243,12379
