"구분별","항목","단위","2015. 01 월","2015. 02 월","2015. 03 월","2015. 04 월","2015. 05 월","2015. 06 월","2015. 07 월","2015. 08 월","2015. 09 월","2015. 10 월","2015. 11 월","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월","2021. 07 월","2021. 08 월","2021. 09 월","2021. 10 월","2021. 11 월","2021. 12 월","2022. 01 월","2022. 02 월","2022. 03 월","2022. 04 월","2022. 05 월","2022. 06 월","2022. 07 월","2022. 08 월","2022. 09 월","2022. 10 월","2022. 11 월","2022. 12 월","2023. 01 월","2023. 02 월","2023. 03 월","2023. 04 월","2023. 05 월","2023. 06 월","2023. 07 월","2023. 08 월","2023. 09 월","2023. 10 월","2023. 11 월","2023. 12 월","2024. 01 월","2024. 02 월","2024. 03 월","2024. 04 월","2024. 05 월","2024. 06 월","2024. 07 월","2024. 08 월","2024. 09 월","2024. 10 월","2024. 11 월","2024. 12 월",
"성북구","이산화질소(NO2)","ppm","0.034","0.034","0.04","0.034","0.033","0.025","0.022","0.025","0.024","0.035","0.03","0.035","0.038","0.037","0.041","0.04","0.033","0.032","0.029","0.025","0.03","0.033","0.037","0.04","0.039","0.04","0.043","0.037","0.032","0.027","0.028","0.024","0.029","0.028","0.035","0.039","0.036","0.036","0.035","0.032","0.025","0.023","0.018","0.017","0.002","0.031","0.043","0.038","0.041","0.036","0.034","0.029","0.029","0.02","0.017","0.018","0.018","0.02","0.028","0.03","0.029","0.028","0.025","0.019","0.021","0.019","0.014","0.013","0.012","0.016","0.02","0.025","0.032","0.032","0.033","0.025","0.021","0.019","0.018","0.016","0.017","0.025","0.034","0.034","0.035","0.029","0.029","0.022","0.018","0.015","0.014","0.016","0.017","0.024","0.032","0.032","0.0328","0.0320","0.0320","0.0221","0.0182","0.0149","0.0144","0.0133","0.0135","0.0231","0.0208","0.0265","0.0254","0.0215","0.0177","0.0184","0.0143","0.0145","*0.0091","0.0098","0.0111","0.0179","0.0236","0.0230",
"성북구","미세먼지(PM-10)","㎍/㎥","50","88","72","45","46","34","29","32","25","43","29","50","50","44","61","73","58","44","36","38","41","40","62","48","55","49","60","59","72","44","37","25","39","34","46","52","50","55","52","57","48","38","27","25","23","28","50","43","65","55","69","43","57","－","27","28","24","34","40","37","40","41","46","45","36","35","19","23","18","30","38","38","37","49","67","45","64","34","24","20","13","26","49","36","40","41","46","51","38","24","22","19","23","24","39","36","48","48","72","68","41","30","22","18","18","30","31","36","35","31","50","52","31","33","21","23","15","24","*28","31",
"성북구","초미세먼지(PM-2.5)","㎍/㎥","24","28","25","21","19","16","20","22","14","23","19","33","25","22","31","28","27","28","23","22","24","21","29","26","30","28","40","27","27","24","25","14","21","17","22","30","32","30","31","24","25","25","16","14","10","14","24","20","37","35","46","24","34","25","22","19","15","17","20","23","23","27","24","20","20","21","12","14","9","16","24","27","19","26","29","17","21","16","12","10","6","12","24","21","25","23","21","21","17","14","14","10","11","14","23","20","27","30","31","22","18","16","15","11","10","15","16","21","24","22","22","22","15","17","12","14","8","13","*15","18",
"성북구","오존(O3)","ppm","0.011","0.016","0.021","0.025","0.029","0.036","0.025","0.025","0.023","0.02","0.013","0.009","0.014","0.018","0.022","0.025","0.032","0.03","0.019","0.025","0.023","0.017","0.009","0.008","0.012","0.018","0.024","0.03","0.036","0.038","0.026","0.022","0.025","0.018","0.013","0.011","0.014","0.017","0.023","0.028","0.033","0.031","0.019","0.025","0.02","0.015","0.011","0.012","0.009","0.015","0.024","0.026","0.037","0.033","0.026","0.03","0.023","0.021","0.011","0.01","0.012","0.016","0.023","0.033","0.04","0.053","0.038","0.02","0.021","0.015","0.01","0.011","0.013","0.019","0.021","0.033","0.036","0.043","0.039","0.033","0.030","0.021","0.018","0.014","0.016","0.025","0.027","0.040","0.044","0.034","0.037","0.031","0.030","0.023","0.017","0.014","0.0150","0.0214","0.0310","0.0357","0.0417","0.0469","0.0356","0.0326","0.0290","0.0231","0.0214","0.0169","0.0179","0.0224","0.0312","0.0399","0.0403","0.0511","0.0323","0.0380","0.0322","0.0227","0.0184","0.0181",
"강북구","아황산가스(SO2)","ppm","0.008","0.007","0.009","0.006","0.007","0.006","0.005","0.006","0.005","0.006","0.005","0.006","0.005","0.005","0.005","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.005","0.004","0.004","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.005","0.005","0.004","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.003","0.003","0.008","0.009","0.005","0.004","0.005","0.004","0.004","0.004","－","－","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.002","0.002","0.002","0.003","0.003","0.003","0.004","0.003","0.003","0.002","0.002","0.002","0.003","0.002","0.002","0.002","0.003","0.003","0.003","0.002","0.002","0.003","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.003","0.0026","0.0024","0.0026","0.0023","0.0023","0.0022","0.0023","0.0022","0.0020","0.0022","0.0023","0.0023","0.0025","0.0022","0.0022","0.0024","0.0022","0.0026","0.0020","0.0020","0.0019","0.0019","0.0022","0.0025",
"강북구","일산화탄소(CO)","ppm","0.8","0.7","0.7","0.5","0.4","0.4","0.3","0.3","0.4","0.6","0.7","0.9","0.7","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.5","0.6","0.7","0.6","0.6","0.6","0.5","0.4","0.4","0.3","0.3","0.4","0.4","0.5","0.7","0.6","0.6","0.5","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.6","0.6","0.8","0.6","－","0.5","0.5","0.3","0.4","0.3","－","－","0.6","0.7","0.6","0.6","0.5","0.4","0.4","0.4","0.4","0.3","0.4","0.5","0.6","0.6","0.5","0.5","0.5","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.5","0.5","0.6","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.5","0.61","0.57","0.52","0.43","0.37","0.36","0.36","0.33","0.34","0.42","0.45","0.54","0.55","0.47","0.38","0.36","0.29","0.30","0.27","0.29","0.27","0.32","0.38","0.44",
"강북구","이산화질소(NO2)","ppm","0.038","0.037","0.045","0.038","0.036","0.027","0.024","0.025","0.029","0.037","0.038","0.042","0.034","0.033","0.037","0.034","0.028","0.026","0.024","0.022","0.027","0.03","0.037","0.032","0.029","0.029","0.03","0.026","0.022","0.017","0.019","0.015","0.019","0.02","0.03","0.033","0.031","0.028","0.029","0.021","0.017","0.016","0.012","0.011","0.013","0.018","0.029","0.028","0.038","0.039","0.032","0.03","0.028","0.02","0.017","0.018","－","－","0.036","0.036","0.035","0.032","0.029","0.022","0.021","0.02","0.017","0.015","0.017","0.025","0.034","0.032","0.024","0.022","0.022","0.014","0.012","0.011","0.011","0.010","0.009","0.014","0.022","0.023","0.024","0.018","0.018","0.015","0.011","0.010","0.008","0.009","0.009","0.013","0.021","0.022","0.0239","0.0217","0.0203","0.0144","0.0111","0.0089","0.0088","0.0075","0.0070","0.0130","0.0158","0.0207","0.0215","0.0176","0.0152","0.0138","0.0102","0.0100","0.0081","0.0072","0.0076","0.0101","0.0154","0.0174",
"강북구","미세먼지(PM-10)","㎍/㎥","48","82","70","44","44","31","27","30","26","46","34","49","47","41","58","62","47","41","32","27","29","31","47","41","45","37","50","45","52","31","30","17","25","22","40","49","47","50","50","48","37","32","25","21","16","19","39","43","61","54","63","33","42","22","22","21","－","－","42","43","39","39","40","39","31","34","20","23","19","30","38","38","43","51","66","41","61","30","24","23","17","28","48","42","48","44","44","45","34","24","27","23","22","22","36","41","49","48","69","64","39","29","31","23","20","24","28","34","34","31","46","44","25","27","19","24","15","19","25","33",
"강북구","초미세먼지(PM-2.5)","㎍/㎥","22","26","31","23","22","20","21","23","16","25","22","26","28","26","33","29","27","27","23","20","21","19","28","30","31","25","33","23","22","20","21","10","16","13","20","28","26","26","29","21","16","18","16","13","8","12","23","24","42","39","43","16","23","16","19","17","－","－","18","27","26","25","20","17","15","19","12","14","11","17","25","29","22","29","31","17","17","19","17","12","7","12","25","22","30","28","22","22","18","13","15","11","10","13","19","19","25","32","30","21","17","17","18","14","11","14","16","20","24","21","19","18","14","17","12","17","9","12","15","20",
"강북구","오존(O3)","ppm","0.011","0.016","0.022","0.028","0.034","0.04","0.029","0.03","0.029","0.022","0.011","0.009","0.015","0.019","0.026","0.035","0.046","0.044","0.03","0.035","0.029","0.02","0.014","0.012","0.019","0.025","0.034","0.042","0.048","0.051","0.034","0.03","0.033","0.028","0.021","0.016","0.02","0.026","0.031","0.038","0.041","0.042","0.028","0.034","0.031","0.025","0.018","0.017","0.013","0.018","0.031","0.036","0.049","0.04","0.031","0.031","－","－","0.013","0.01","0.013","0.018","0.027","0.036","0.035","0.045","0.032","0.021","0.029","0.023","0.015","0.015","0.015","0.022","0.027","0.038","0.038","0.042","0.036","0.032","0.031","0.025","0.022","0.017","0.019","0.031","0.032","0.044","0.051","0.037","0.035","0.031","0.033","0.027","0.023","0.018","0.0192","0.0270","0.0390","0.0410","0.0463","0.0500","0.0380","0.0357","0.0356","0.0303","0.0259","0.0207","0.0223","0.0281","0.0388","0.0497","0.0486","0.0594","0.0384","0.0414","0.0360","0.0295","0.0272","0.0235",
"도봉구","아황산가스(SO2)","ppm","0.007","0.007","0.007","0.006","0.006","0.005","0.005","0.005","0.005","0.006","0.006","0.007","0.006","0.005","0.005","0.005","0.004","0.004","0.004","0.004","0.004","0.004","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.004","0.004","0.004","0.004","0.004","0.005","0.005","0.005","0.006","0.005","－","0.004","0.005","0.004","0.005","0.004","0.005","0.004","0.004","0.007","0.007","0.006","0.006","0.007","0.006","0.006","0.006","－","－","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.003","0.004","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","-","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.0025","0.0027","0.0029","0.0027","0.0029","0.0025","0.0026","0.0025","0.0027","0.0026","0.0024","0.0025","0.0028","0.0031","0.0031","0.0032","0.0032","0.0025","0.0019","0.0019","0.0021","0.0028","0.0031","0.0033",
"도봉구","일산화탄소(CO)","ppm","0.7","0.7","0.7","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.6","0.8","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.3","0.4","0.4","0.5","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.4","0.5","0.5","0.6","0.7","0.7","0.6","0.6","－","0.5","0.6","0.6","0.6","0.5","－","0.7","0.9","0.7","0.7","0.5","0.4","0.4","0.3","0.3","0.4","－","－","0.6","0.6","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.3","0.4","0.5","0.5","0.6","0.5","0.4","0.4","0.3","0.3","0.3","0.2","0.4","0.4","-","0.6","0.7","0.7","0.6","0.4","0.4","0.5","0.6","0.3","0.3","0.4","0.4","0.6","0.4","0.67","0.58","0.59","*0.43","*0.46","0.49","*0.36","0.47","0.42","0.47","0.46","0.56","0.57","0.56","0.45","0.43","0.40","0.32","0.28","0.32","0.27","0.42","0.54","0.57",
"도봉구","이산화질소(NO2)","ppm","0.04","0.039","0.045","0.037","0.036","0.027","0.024","0.024","0.025","0.034","0.033","0.041","0.034","0.03","0.035","0.032","0.025","0.024","0.022","0.021","0.024","0.026","0.034","0.035","0.032","0.03","0.032","0.026","0.024","0.019","0.021","0.017","0.024","0.023","0.028","0.035","0.032","0.029","0.029","－","0.023","0.018","0.013","0.012","0.014","0.021","0.031","0.026","0.035","0.03","0.029","0.022","0.022","0.017","0.015","0.014","－","－","0.032","0.034","0.033","0.032","0.028","0.022","0.02","0.021","0.016","0.015","0.014","0.022","0.03","0.034","0.025","0.024","0.023","0.015","0.012","0.011","0.009","0.010","0.009","0.016","0.025","0.025","0.025","0.020","0.020","0.016","0.011","0.010","0.009","0.010","0.010","0.014","0.022","0.024","0.0247","0.0229","0.0212","0.0140","0.0118","0.0100","0.0090","0.0081","0.0093","0.0167","0.0181","0.0250","0.0242","0.0209","0.0174","0.0152","0.0105","0.0105","0.0089","*0.0091","0.0106","0.0152","0.0210","0.0228",
"도봉구","미세먼지(PM-10)","㎍/㎥","49","88","73","47","46","33","29","32","26","43","32","47","49","44","61","71","54","41","32","33","35","36","53","49","55","46","60","56","65","40","30","21","32","28","39","51","54","58","57","57","40","37","26","24","21","27","53","40","58","51","60","32","42","22","22","21","－","－","40","42","42","41","45","43","34","38","22","25","19","32","40","42","33","41","61","41","59","32","23","22","16","27","46","40","44","38","39","41","32","21","20","16","17","20","35","33","43","43","67","63","36","26","22","16","17","25","29","34","33","30","51","49","28","27","16","19","15","21","27","33",
"도봉구","초미세먼지(PM-2.5)","㎍/㎥","26","31","31","22","23","20","19","21","15","22","19","26","25","20","27","26","28","26","20","21","22","19","26","28","30","26","34","25","25","24","23","13","18","14","20","31","32","30","32","30","21","23","14","13","9","16","32","25","36","35","43","18","27","18","17","15","－","－","16","23","22","23","24","19","18","21","14","15","11","17","22","24","20","28","31","17","20","15","11","9","5","12","28","23","28","25","22","21","16","12","12","9","9","12","21","18","23","29","29","21","17","15","15","11","10","14","17","22","25","23","23","21","15","16","10","13","8","13","16","19",
"도봉구","오존(O3)","ppm","0.012","0.018","0.023","0.032","0.034","0.037","0.028","0.029","0.027","0.018","0.012","0.009","0.021","0.028","0.036","0.036","0.047","0.044","0.028","0.036","0.023","0.019","0.016","0.012","0.016","0.02","0.028","0.039","0.043","0.045","0.028","0.024","0.029","0.023","0.017","0.014","0.017","0.024","0.031","－","0.037","0.04","0.026","0.033","0.028","0.021","0.015","0.016","0.012","0.017","0.027","0.031","0.044","0.038","0.028","0.029","－","－","0.013","0.011","0.013","0.017","0.024","0.032","0.032","0.041","0.029","0.019","0.028","0.023","0.015","0.013","0.018","0.026","0.031","0.041","0.038","0.043","0.037","0.031","0.029","0.022","0.020","0.016","0.019","0.029","0.030","0.042","0.053","0.036","0.034","0.030","0.031","0.025","0.021","0.019","0.0206","0.0275","0.0378","0.0392","0.0440","0.0513","0.0400","0.0361","0.0373","0.0294","0.0270","0.0221","0.0238","0.0290","0.0401","0.0484","0.0448","0.0637","0.0406","0.0460","0.0394","0.0298","0.0284","0.0253",
"노원구","아황산가스(SO2)","ppm","0.008","0.007","0.008","0.006","0.006","0.005","0.004","0.005","0.004","0.005","0.005","0.007","0.007","0.007","0.007","0.006","0.006","0.006","0.006","0.006","0.006","0.005","0.004","0.006","0.005","0.004","0.005","0.004","0.004","0.003","0.003","0.003","0.002","0.003","0.005","0.006","0.006","0.007","0.006","0.005","0.005","0.005","0.005","0.005","0.004","0.004","0.006","0.006","0.005","0.004","0.004","0.003","0.004","0.003","0.003","0.003","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.004","0.004","0.003","0.003","0.002","0.003","0.002","0.002","0.002","0.003","0.003","0.003","0.004","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.0034","0.0032","0.0032","0.0028","0.0028","0.0026","0.0022","0.0020","0.0020","0.0026","0.0027","0.0029","0.0030","0.0026","0.0027","0.0028","0.0026","0.0028","0.0020","0.0021","0.0020","0.0024","0.0029","0.0031",
"노원구","일산화탄소(CO)","ppm","0.8","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.7","0.9","0.7","0.7","0.6","0.6","0.5","0.4","0.4","0.4","0.4","0.4","0.6","0.7","0.8","0.7","0.7","0.5","0.5","0.4","0.4","0.4","0.5","0.5","0.6","0.7","0.7","0.7","0.6","0.5","0.4","0.4","0.3","0.3","0.4","0.5","0.7","0.7","1","0.9","0.9","0.7","0.7","0.6","0.6","0.6","0.6","0.5","－","0.8","0.8","0.7","0.6","0.4","0.5","0.5","0.5","0.4","0.3","0.5","0.7","0.7","0.7","0.7","0.6","0.4","0.4","0.4","0.3","0.4","0.4","0.5","0.6","0.6","0.7","0.6","0.5","0.4","0.4","0.3","0.3","0.4","0.4","0.4","0.6","0.6","0.64","0.59","0.54","0.43","0.38","0.38","0.37","0.35","0.36","0.46","0.46","0.58","0.59","0.50","0.41","0.38","0.32","0.31","0.29","0.28","0.28","0.38","0.45","0.51",
"노원구","이산화질소(NO2)","ppm","0.036","0.035","0.038","0.035","0.032","0.025","0.023","0.022","0.023","0.034","0.037","0.043","0.034","0.033","0.036","0.032","0.026","0.023","0.02","0.017","0.023","0.021","0.032","0.035","0.038","0.037","0.039","0.032","0.03","0.023","0.024","0.019","0.028","0.026","0.033","0.036","0.034","0.032","0.032","0.029","0.023","0.02","0.015","0.013","0.016","0.026","0.037","0.036","0.045","0.039","0.037","0.034","0.034","0.024","0.022","0.021","0.022","0.027","0.035","0.039","0.039","0.036","0.031","0.026","0.025","0.024","0.02","0.018","0.02","0.028","0.031","0.034","0.030","0.031","0.029","0.021","0.018","0.016","0.014","0.013","0.013","0.022","0.030","0.029","0.030","0.025","0.025","0.018","0.014","0.013","0.011","0.013","0.015","0.022","0.032","0.031","0.0334","0.0306","0.0258","0.0187","0.0150","0.0125","0.0118","0.0107","0.0115","0.0203","0.0212","0.0286","0.0275","0.0231","0.0218","0.0192","0.0148","0.0140","0.0110","0.0101","0.0112","0.0184","0.0242","0.0246",
"노원구","미세먼지(PM-10)","㎍/㎥","41","71","64","47","45","38","32","31","25","41","30","45","47","40","55","56","44","37","29","25","29","34","46","46","51","42","53","50","57","38","35","23","30","33","45","52","52","54","52","50","39","33","26","23","21","28","49","45","64","55","65","42","58","30","23","26","29","40","47","43","41","40","45","46","36","38","22","22","19","36","45","44","41","49","62","39","57","30","23","21","15","27","46","41","46","44","43","46","33","23","23","21","20","24","39","41","51","50","69","64","37","27","27","21","20","27","30","39","40","35","51","51","30","31","22","25","17","24","31","38",
"노원구","초미세먼지(PM-2.5)","㎍/㎥","23","28","27","20","20","18","16","19","14","21","19","24","25","25","33","30","26","28","22","19","21","19","28","31","34","28","37","26","25","23","22","12","19","18","25","33","32","30","32","23","18","20","17","12","9","14","27","26","32","30","36","18","29","19","15","15","10","14","16","27","27","27","23","19","18","20","13","12","9","15","21","24","25","31","30","19","19","19","16","15","8","15","29","26","33","30","24","24","19","14","15","13","12","15","25","23","29","35","33","23","19","17","17","13","12","16","18","24","28","27","23","24","17","18","13","17","9","13","17","21",
"노원구","오존(O3)","ppm","0.013","0.016","0.021","0.026","0.033","0.039","0.023","0.027","0.026","0.021","0.012","0.01","0.014","0.02","0.026","0.034","0.041","0.038","0.027","0.031","0.028","0.021","0.016","0.012","0.016","0.021","0.029","0.038","0.043","0.048","0.033","0.028","0.03","0.022","0.015","0.012","0.016","0.022","0.029","0.032","0.032","0.033","0.022","0.028","0.024","0.021","0.011","0.011","0.012","0.017","0.026","0.027","0.039","0.035","0.027","0.028","0.021","0.019","0.012","0.011","0.014","0.018","0.026","0.035","0.034","0.043","0.027","0.018","0.026","0.021","0.012","0.013","0.016","0.023","0.027","0.037","0.035","0.041","0.036","0.033","0.032","0.022","0.018","0.014","0.018","0.027","0.029","0.044","0.051","0.036","0.038","0.031","0.031","0.022","0.017","0.016","0.0160","0.0227","0.0330","0.0380","0.0427","0.0471","0.0360","0.0346","0.0322","0.0244","0.0217","0.0164","0.0178","0.0233","0.0310","0.0425","0.0447","0.0535","0.0335","0.0392","0.0336","0.0232","0.0204","0.0189",
"은평구","아황산가스(SO2)","ppm","0.007","0.006","0.006","0.005","0.005","0.005","0.005","0.005","0.002","0.003","0.003","0.005","0.007","0.007","0.007","0.007","0.006","0.005","0.004","0.004","0.004","0.005","0.005","0.006","0.004","0.005","0.004","0.004","0.005","0.004","0.004","0.004","0.004","0.005","0.006","0.004","0.004","0.004","0.004","0.004","0.003","0.004","0.004","0.004","0.004","0.004","0.005","0.005","0.004","0.003","0.003","0.002","0.003","0.002","0.002","0.002","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.002","0.002","0.002","0.003","0.003","0.004","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.003","0.004","0.004","0.003","0.002","0.003","0.003","0.002","0.002","0.002","0.002","0.003","0.003","0.003","0.0029","0.0023","0.0028","0.0023","0.0022","0.0024","0.0029","0.0032","0.0021","0.0026","0.0029","0.0028","0.0031","0.0028","0.0029","0.0029","0.0027","0.0029","0.0021","0.0023","0.0024","0.0027","0.0032","0.0036",
"은평구","일산화탄소(CO)","ppm","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.6","0.8","0.5","0.5","0.5","0.5","0.4","0.3","0.3","0.3","0.4","0.5","0.6","0.6","0.7","0.8","0.6","0.6","0.5","0.4","0.3","0.3","0.6","0.7","0.7","0.7","0.7","0.8","0.4","0.4","0.4","0.4","0.2","0.3","0.4","0.6","0.8","0.8","0.7","0.6","0.6","0.4","0.5","0.4","0.4","0.3","0.4","0.4","0.5","0.6","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.3","0.3","0.5","0.5","0.6","-","0.5","0.5","0.4","0.4","0.4","0.3","0.4","0.4","0.5","0.8","0.7","0.9","0.6","0.5","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.5","0.7","0.78","0.52","0.55","0.48","0.41","0.50","0.40","0.29","0.39","0.40","0.44","0.60","0.61","0.62","0.41","0.48","0.42","0.46","0.46","0.39","0.32","0.45","0.54","0.54",
"은평구","이산화질소(NO2)","ppm","0.034","0.032","0.035","0.028","0.026","0.021","0.019","0.021","0.032","0.034","0.035","0.039","0.03","0.031","0.042","0.042","0.037","0.03","0.023","0.022","0.025","0.026","0.028","0.03","0.026","0.03","0.031","0.029","0.027","0.023","0.022","0.014","0.02","0.026","0.033","0.03","0.038","0.035","0.035","0.023","0.021","0.018","0.014","0.014","0.016","0.024","0.035","0.03","0.031","0.025","0.024","0.018","0.019","0.013","0.013","0.012","0.013","0.015","0.024","0.039","0.035","0.034","0.025","0.024","0.014","0.015","0.009","0.011","0.009","0.016","0.021","0.024","0.024","0.022","0.023","0.017","0.014","0.014","0.012","0.010","0.009","0.017","0.026","0.027","0.028","0.024","0.021","0.017","0.014","0.010","0.010","0.010","0.010","0.014","0.020","0.022","0.0241","0.0257","0.0193","0.0126","0.0127","0.0107","0.0098","0.0086","0.0090","0.0156","0.0186","0.0226","0.0239","0.0188","0.0174","0.0160","0.0114","0.0118","0.0083","0.0086","0.0085","0.0127","0.0192","0.0206",
"은평구","미세먼지(PM-10)","㎍/㎥","48","82","67","45","40","29","26","34","37","43","31","34","47","43","63","69","55","47","33","31","38","39","52","47","53","43","61","60","72","45","33","19","29","25","39","50","51","55","53","51","47","36","23","24","22","29","54","42","71","62","73","39","52","30","31","32","26","36","41","46","44","46","46","48","36","39","24","28","22","36","45","46","35","46","66","42","59","31","21","19","13","25","44","36","41","39","44","48","37","24","23","19","20","22","36","35","46","43","67","65","38","28","*28","20","17","26","29","34","35","32","52","52","31","32","21","23","15","22","28","35",
"은평구","초미세먼지(PM-2.5)","㎍/㎥","22","25","27","18","21","18","19","23","22","27","22","22","25","23","30","27","26","25","20","19","25","20","27","29","30","25","36","25","26","24","22","12","19","14","19","31","31","29","35","28","29","30","20","19","14","18","34","24","39","35","42","16","25","17","19","17","13","18","21","31","30","29","25","21","19","22","14","17","11","17","23","27","19","29","34","20","23","18","13","12","9","15","28","23","28","27","25","27","22","17","18","12","11","11","19","15","21","28","32","24","17","18","20","13","10","13","16","20","23","21","22","22","17","19","14","15","10","12","14","16",
"은평구","오존(O3)","ppm","0.012","0.016","0.021","0.025","0.028","0.031","0.026","0.031","0.029","0.023","0.012","0.01","0.017","0.023","0.032","0.035","0.041","0.037","0.024","0.024","0.024","0.018","0.013","0.009","0.014","0.023","0.029","0.039","0.042","0.043","0.032","0.03","0.033","0.026","0.017","0.014","0.018","0.024","0.031","0.037","0.037","0.041","0.028","0.035","0.033","0.023","0.016","0.016","0.018","0.024","0.034","0.036","0.045","0.039","0.031","0.028","0.027","0.025","0.016","0.014","0.016","0.019","0.029","0.033","0.028","0.037","0.027","0.017","0.026","0.025","0.017","0.016","0.019","0.027","0.030","0.044","0.043","0.046","0.039","0.036","0.037","0.024","0.017","0.013","0.016","0.026","0.031","0.044","0.048","0.035","0.032","0.028","0.032","0.025","0.021","0.017","0.0179","0.0243","0.0365","0.0400","0.0443","0.0455","0.0302","0.0288","0.0288","0.0259","0.0219","0.0181","0.0187","0.0261","0.0352","0.0424","0.0370","0.0446","0.0274","0.0304","0.0284","0.0228","0.0192","0.0174",
"서대문구","아황산가스(SO2)","ppm","0.008","0.006","0.007","0.005","0.005","0.004","0.004","0.004","0.003","0.005","0.004","0.006","0.006","0.005","0.006","0.005","0.004","0.004","0.003","0.003","0.003","0.004","0.005","0.005","0.006","0.006","0.006","0.006","0.007","0.005","0.005","0.005","0.005","0.005","0.004","","－","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.003","－","－","0.006","0.005","0.005","0.005","0.004","0.005","0.003","0.003","0.004","0.004","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.003","0.003","0.003","0.003","0.006","0.005","0.005","0.004","0.004","0.004","0.004","0.003","0.003","0.003","0.005","0.004","0.005","0.003*","0.003","0.003","0.004","0.003","0.002","0.002","0.003","0.003","0.004","0.004","0.0041","*0.0025","0.0031","0.0028","0.0027","0.0023","0.0027","0.0031","0.0031","0.0031","0.0028","0.0045","0.0044","0.0037","0.0033","0.0029","0.0024","0.0026","0.0021","0.0023","0.0020","0.0028","0.0034","0.0044",
"서대문구","일산화탄소(CO)","ppm","0.7","0.6","0.6","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.5","0.6","0.7","0.6","0.6","0.6","0.5","0.3","0.3","0.4","0.4","0.4","0.6","0.7","0.6","0.6","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.5","-","","－","0.5","0.5","0.6","0.6","0.6","0.5","0.5","0.4","－","－","0.7","0.9","0.7","0.6","0.4","0.5","0.4","0.4","0.4","0.4","0.5","0.6","0.7","0.7","0.6","0.5","0.4","0.3","0.3","0.3","0.2","0.2","0.4","0.4","0.5","0.7","0.7","0.7","0.5","0.5","0.4","0.3","0.4","0.3","0.5","0.7","0.7","0.8","0.6","0.6","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.8","0.7","0.73","*0.53","0.54","0.37","0.35","0.42","0.37","0.30","0.37","0.45","0.52","0.70","0.76","0.66","0.43","0.55","0.43","0.42","0.43","0.37","0.33","0.45","0.57","0.65",
