"구분별","항목","단위","2015. 01 월","2015. 02 월","2015. 03 월","2015. 04 월","2015. 05 월","2015. 06 월","2015. 07 월","2015. 08 월","2015. 09 월","2015. 10 월","2015. 11 월","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월","2021. 07 월","2021. 08 월","2021. 09 월","2021. 10 월","2021. 11 월","2021. 12 월","2022. 01 월","2022. 02 월","2022. 03 월","2022. 04 월","2022. 05 월","2022. 06 월","2022. 07 월","2022. 08 월","2022. 09 월","2022. 10 월","2022. 11 월","2022. 12 월","2023. 01 월","2023. 02 월","2023. 03 월","2023. 04 월","2023. 05 월","2023. 06 월","2023. 07 월","2023. 08 월","2023. 09 월","2023. 10 월","2023. 11 월","2023. 12 월","2024. 01 월","2024. 02 월","2024. 03 월","2024. 04 월","2024. 05 월","2024. 06 월","2024. 07 월","2024. 08 월","2024. 09 월","2024. 10 월","2024. 11 월","2024. 12 월",
"동대문구","아황산가스(SO2)","ppm","0.006","0.006","0.006","0.004","0.005","0.003","0.003","0.004","0.004","0.005","0.005","0.005","0.007","0.007","0.007","0.007","0.006","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.006","0.005","0.004","0.005","0.005","0.004","0.005","0.006","0.007","0.007","0.007","0.006","0.006","0.007","0.007","0.005","0.006","0.007","0.008","0.008","0.003","0.005","0.004","0.004","0.004","0.004","0.004","0.004","－","－","0.003","0.003","0.004","0.003","0.003","0.003","0.002","0.003","0.002","0.002","0.002","0.003","0.003","0.004","0.004","0.003","0.003","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.003","0.003","0.003","0.003","0.002","0.002","-","0.002","0.003","0.004","0.003","0.0035","0.0035","0.0036","0.0032","0.0033","0.0031","0.0031","0.0029","0.0030","0.0032","0.0030","0.0032","0.0033","0.0026","0.0024","0.0029","0.0027","0.0030","0.0028","0.0021","0.0018","0.0022","0.0023","0.0025",
"동대문구","일산화탄소(CO)","ppm","0.7","0.7","0.6","0.5","0.4","0.4","0.4","0.4","0.4","0.5","0.6","0.7","0.9","0.7","0.7","0.5","0.5","0.5","0.4","0.5","0.7","0.5","0.7","0.8","0.8","0.7","0.5","0.4","0.4","0.4","0.4","0.3","0.4","0.4","0.6","0.7","0.6","0.6","0.6","0.5","0.4","0.5","0.5","0.4","0.4","0.5","0.8","0.8","0.7","0.6","0.6","0.4","0.4","0.3","0.5","0.6","－","－","0.6","0.7","0.5","0.6","0.4","0.4","0.4","0.4","0.4","0.3","0.4","0.5","0.6","0.6","0.6","0.6","0.6","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.6","0.6","0.6","0.5","0.5","0.4","0.3","0.3","0.3","-","0.4","0.4","0.6","0.6","0.61","0.56","0.52","0.42","0.39","0.39","0.33","0.36","0.38","0.46","0.50","0.61","0.62","0.56","0.44","0.41","0.33","0.33","0.29","0.31","0.31","0.41","0.47","0.52",
"동대문구","이산화질소(NO2)","ppm","0.041","0.04","0.037","0.023","0.031","0.019","0.013","0.025","0.029","0.041","0.037","0.032","0.036","0.037","0.04","0.038","0.032","0.03","0.022","0.023","0.029","0.033","0.037","0.037","0.035","0.035","0.038","0.031","0.027","0.023","0.021","0.021","0.027","0.028","0.032","0.037","0.039","0.037","0.039","0.039","0.03","0.028","0.022","0.02","0.022","0.037","0.048","0.035","0.03","0.039","0.03","0.025","0.023","0.017","0.014","0.014","－","－","0.039","0.039","0.038","0.036","0.031","0.024","0.023","0.023","0.018","0.016","0.018","0.028","0.037","0.038","0.034","0.033","0.034","0.023","0.021","0.019","0.016","0.016","0.015","0.024","0.032","0.031","0.032","0.025","0.027","0.021","0.015","0.014","0.013","-","0.016","0.021","0.030","0.028","0.0300","0.0285","0.0279","0.0191","0.0161","0.0130","0.0126","0.0110","0.0128","0.0216","0.0227","0.0310","0.0301","0.0268","0.0215","0.0229","0.0162","0.0151","0.0107","0.0110","0.0112","0.0192","0.0239","0.0223",
"동대문구","미세먼지(PM-10)","㎍/㎥","52","88","75","48","45","34","31","35","26","42","34","46","52","48","66","76","59","45","32","34","37","38","54","52","58","50","64","51","56","34","28","22","35","31","42","58","55","50","49","46","37","30","21","17","15","24","48","40","73","61","77","50","65","36","25","23","－","－","41","40","41","37","42","41","32","34","20","22","19","31","38","36","35","47","65","41","63","35","24","21","14","27","45","39","43","39","42","47","35","25","27","-","22","24","38","37","46","46","67","64","41","30","30","23","23","30","32","37","36","34","49","51","31","32","23","28","19","24","31","36",
"동대문구","초미세먼지(PM-2.5)","㎍/㎥","26","31","34","25","26","23","21","25","18","28","26","34","26","21","29","29","28","28","21","21","24","20","27","31","33","27","34","22","21","20","19","12","18","14","18","32","30","31","35","24","22","23","17","14","10","16","32","29","38","36","48","25","35","26","19","15","－","－","20","28","31","28","25","20","17","20","14","15","11","17","24","26","21","27","28","16","17","19","17","14","7","14","29","27","31","25","22","22","16","13","17","-","12","14","22","19","25","30","30","20","18","17","17","14","12","16","17","20","24","22","21","21","16","18","13","18","10","13","16","18",
"동대문구","오존(O3)","ppm","0.01","0.016","0.022","0.032","0.039","0.038","0.033","0.035","0.03","0.021","0.012","0.009","0.013","0.016","0.026","0.031","0.036","0.033","0.022","0.024","0.019","0.013","0.01","0.007","0.013","0.016","0.024","0.032","0.034","0.036","0.029","0.018","0.02","0.015","0.011","0.011","0.014","0.013","0.019","0.023","0.026","0.025","0.027","0.032","0.028","0.02","0.012","0.012","0.01","0.018","0.027","0.026","0.042","0.041","0.034","0.032","－","－","0.011","0.009","0.014","0.015","0.023","0.032","0.032","0.04","0.028","0.018","0.026","0.02","0.013","0.012","0.015","0.022","0.025","0.038","0.035","0.043","0.041","0.036","0.032","0.024","0.019","0.015","0.017","0.029","0.029","0.045","0.053","0.039","0.042","-","0.035","0.025","0.018","0.016","0.0166","0.0239","0.0355","0.0398","0.0432","0.0507","0.0400","0.0366","0.0351","0.0265","0.0230","0.0172","0.0194","0.0238","0.0332","0.0425","0.0459","0.0570","0.0363","0.0431","0.0353","0.0248","0.0215","0.0202",
"중랑구","아황산가스(SO2)","ppm","0.005","0.005","0.006","0.004","0.004","0.004","0.004","0.003","0.003","0.005","0.003","0.005","0.007","0.007","0.006","0.005","0.006","0.006","0.005","0.005","0.005","0.005","0.006","0.006","0.005","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.006","0.005","0.005","0.005","0.006","0.007","0.004","0.004","0.003","0.004","0.004","0.003","0.003","0.003","0.004","0.003","0.003","0.004","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.004","0.004","0.004","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.002","0.003","0.003","0.0027","0.0028","0.0028","0.0023","0.0025","0.0023","0.0024","0.0022","0.0023","0.0023","0.0024","0.0023","0.0025","0.0022","0.0022","0.0024","0.0024","0.0026","0.0021","0.0020","0.0019","0.0020","0.0024","0.0026",
"중랑구","일산화탄소(CO)","ppm","0.6","0.6","0.6","0.5","0.4","0.3","0.2","0.3","0.3","0.4","0.5","0.7","0.7","0.7","0.5","0.5","0.4","0.4","0.4","0.3","0.4","0.4","0.5","0.6","0.6","0.5","0.5","0.4","0.3","0.3","0.3","0.4","0.4","0.4","0.6","0.7","0.7","0.7","0.6","0.5","0.5","0.4","0.4","0.4","0.4","0.5","0.6","0.6","0.7","0.6","0.6","0.4","0.5","0.4","0.4","0.4","0.4","0.4","0.6","0.6","0.6","0.5","0.5","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.5","0.6","0.6","0.6","0.6","0.4","0.4","0.4","0.3","0.3","0.3","0.4","0.5","0.5","0.6","0.5","0.4","0.4","0.3","0.3","0.3","0.3","0.3","0.3","0.5","0.5","0.55","0.51","0.47","0.37","0.33","0.34","0.31","0.27","0.32","0.38","0.41","0.49","0.53","0.47","0.41","0.39","0.33","0.35","0.28","0.28","0.29","0.33","0.45","0.48",
"중랑구","이산화질소(NO2)","ppm","0.039","0.038","0.044","0.036","0.034","0.028","0.017","0.021","0.025","0.04","0.027","0.036","0.039","0.037","0.04","0.035","0.029","0.028","0.023","0.022","0.024","0.027","0.039","0.038","0.037","0.036","0.037","0.029","0.03","0.024","0.02","0.017","0.023","0.023","0.032","0.036","0.037","0.037","0.03","0.028","0.025","0.022","0.018","0.016","0.017","0.025","0.034","0.03","0.042","0.004","0.037","0.033","0.034","0.025","0.022","0.023","0.022","0.026","0.037","0.037","0.034","0.03","0.028","0.021","0.019","0.02","0.015","－","0.016","0.031","0.037","0.038","0.032","0.032","0.032","0.022","0.020","0.018","0.015","0.013","0.011","0.019","0.029","0.031","0.032","0.027","0.026","0.020","0.015","0.013","0.013","0.014","0.013","0.018","0.027","0.028","0.0308","0.0294","0.0275","0.0185","0.0163","0.0172","0.0163","0.0088","0.0116","0.0183","0.0212","0.0267","0.0286","0.0234","0.0216","0.0194","0.0151","0.0146","0.0111","0.0103","0.0100","0.0138","0.0205","0.0251",
"중랑구","미세먼지(PM-10)","㎍/㎥","48","81","72","45","50","36","27","30","31","48","33","51","51","48","64","77","59","45","34","36","39","40","57","50","57","49","62","59","70","43","36","21","29","26","37","50","55","49","48","46","35","29","20","18","15","22","45","37","75","66","80","46","55","34","31","25","22","29","38","38","40","40","42","40","33","36","20","23","19","31","38","38","36","47","65","41","60","33","26","23","14","26","45","38","43","40","40","43","33","23","26","22","21","24","38","38","46","45","64","59","37","28","28","22","22","26","27","30","32","28","40","42","26","28","21","25","16","19","27","33",
"중랑구","초미세먼지(PM-2.5)","㎍/㎥","26","31","33","23","22","19","19","21","15","22","18","26","27","23","30","32","32","29","23","23","25","21","31","31","35","30","38","26","27","26","23","11","16","13","19","30","33","28","32","22","20","21","15","13","7","12","24","22","41","40","51","23","30","22","20","12","11","14","20","27","29","27","25","20","19","23","14","16","12","17","24","26","19","28","30","17","18","19","16","13","6","11","23","21","27","24","20","21","16","12","17","13","11","14","23","21","26","31","30","22","18","18","18","14","12","14","17","20","24","22","21","23","16","19","12","17","9","11","16","19",
"중랑구","오존(O3)","ppm","0.011","0.016","0.02","0.027","0.029","0.038","0.025","0.027","0.024","0.016","0.012","0.009","0.014","0.019","0.025","0.033","0.043","0.034","0.024","0.026","0.025","0.018","0.013","0.009","0.012","0.017","0.025","0.034","0.036","0.037","0.024","0.022","0.027","0.02","0.014","0.01","0.013","0.017","0.023","0.029","0.033","0.034","0.023","0.028","0.026","0.018","0.012","0.011","0.012","0.018","0.028","0.032","0.049","0.044","0.033","0.033","0.027","0.022","0.012","0.01","0.014","0.018","0.027","0.039","0.034","0.042","0.029","0.018","0.028","0.021","0.015","0.016","0.014","0.020","0.023","0.035","0.033","0.040","0.042","0.037","0.035","0.027","0.021","0.014","0.016","0.027","0.029","0.043","0.049","0.037","0.039","0.032","0.035","0.026","0.021","0.016","0.0165","0.0233","0.0339","0.0382","0.0422","0.0448","0.0362","0.0316","0.0315","0.0283","0.0211","0.0174","0.0176","0.0239","0.0313","0.0403","0.0386","0.0463","0.0318","0.0382","0.0316","0.0258","0.0251","0.0174",
"성북구","아황산가스(SO2)","ppm","0.006","0.006","0.007","0.005","0.005","0.004","0.004","0.004","0.003","0.004","0.004","0.005","0.007","0.007","0.006","0.006","0.005","0.005","0.005","0.004","0.004","0.004","0.004","0.005","0.005","0.005","0.004","0.004","0.005","0.004","0.003","0.003","0.003","0.003","0.004","0.006","0.006","0.006","0.005","0.004","0.002","0.003","0.003","0.002","0.002","0.003","0.003","0.004","0.004","0.004","0.005","0.004","0.005","0.004","0.004","0.004","0.004","0.002","0.002","0.003","0.003","0.002","0.003","0.003","0.004","0.003","0.003","0.003","0.003","0.003","0.003","－","0.004","0.003","0.003","0.003","0.003","0.003","0.002","0.003","0.002","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.003","0.002","0.002","0.003","0.002","0.003","0.003","0.003","0.0034","0.0033","0.0034","0.0025","0.0024","0.0024","0.0029","0.0024","0.0023","0.0025","0.0023","0.0027","0.0028","0.0029","0.0030","0.0032","0.0025","0.0026","0.0022","0.0023","0.0025","0.0028","0.0033","0.0035",
"성북구","일산화탄소(CO)","ppm","0.8","0.8","0.7","0.5","0.5","0.5","0.4","0.4","0.4","0.5","0.5","0.6","0.8","0.7","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.9","0.7","0.8","0.6","0.6","0.5","0.5","0.5","0.4","0.5","0.5","0.7","0.7","0.6","0.7","0.7","0.6","0.6","0.7","0.5","0.4","0.4","0.6","0.9","0.7","1","0.9","0.8","0.7","0.8","0.6","0.6","0.7","0.6","0.6","0.6","0.7","0.8","0.6","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.7","0.6","0.6","0.7","0.6","-","-","-","-","-","0.5","-","0.5","0.6","0.6","0.7","0.6","0.5","0.5","0.4","0.4","0.5","0.4","0.3","0.4","0.8","0.6","0.69","0.61","0.60","0.37","0.39","0.46","0.42","0.42","0.43","0.44","0.48","0.64","0.65","0.60","0.49","0.51","0.39","0.37","0.44","0.39","0.29","0.40","0.52","0.57",
